data;id;mois;jour;annee;numero_de_message;temperature_partie_entiere;temperature_partie_decimale;humidite;pluie_en_augets;direction_du_vecteur_moyen_de_vent;force_moyenne_du_vecteur_de_vent;pression_a_decoder;direction_du_vecteur_de_vent_max;force_du_vecteur_de_vent_max;pluie_la_plus_intense_durant_1_min;type_station;pluie_intensite_max;heure;annee_reelle;minute;pression;temperature_decodee;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;jour_mois;dd_mm_yy_utc;hh_mm_utc;dd_mm_yy_hh_mm;temperature_en_degre_c;false_message;dd_mm_yy_hh_mm_utc;heure_paris_dd_mm_yy_hh_mm;heure_de_paris;heure_utc
3eeb1031921008b0acfc4800;31;7;11;1;1;70;4;66;0;139;5;103;14;18;0;0;0.0;0;2020;0;100300;20;278;ISS;0.0;315.0;5;18;11/7;11/7/2020;0:0;2020-07-11T00:00:00;20.4;9554909480960;2020-07-11T00:00:00+00:00;2020-07-11T00:00:00+02:00;2020-07-11T00:00:00+00:00;2020-07-11T00:00:00+00:00
3eeb10b1622008708cda3800;31;7;11;1;5;69;8;68;0;135;4;102;13;14;0;0;0.0;1;2020;0;100200;19;270;ISS;0.0;292.5;4;14;11/7;11/7/2020;1:0;2020-07-11T01:00:00;19.8;9279492470784;2020-07-11T01:00:00+00:00;2020-07-11T01:00:00+02:00;2020-07-11T01:00:00+00:00;2020-07-11T01:00:00+00:00
3eeb11514e180920ccda3800;31;7;11;1;10;69;3;67;0;146;6;102;13;14;0;0;0.0;2;2020;15;100200;19;292;ISS;0.0;292.5;6;14;11/7;11/7/2020;2:15;2020-07-11T02:15:00;19.3;10036480456704;2020-07-11T02:15:00+00:00;2020-07-11T02:15:00+02:00;2020-07-11T02:15:00+00:00;2020-07-11T02:15:00+00:00
3eeb1210da4808e0acf83800;31;7;11;1;16;67;6;73;0;142;5;103;12;14;0;0;0.0;3;2020;45;100300;17;284;ISS;0.0;270.0;5;14;11/7;11/7/2020;3:45;2020-07-11T03:45:00;17.6;9761067644928;2020-07-11T03:45:00+00:00;2020-07-11T03:45:00+02:00;2020-07-11T03:45:00+00:00;2020-07-11T03:45:00+00:00
3eeb11f0e24808f08cde4800;31;7;11;1;15;67;8;73;0;143;4;102;15;18;0;0;0.0;3;2020;30;100200;17;286;ISS;0.0;337.5;4;18;11/7;11/7/2020;3:30;2020-07-11T03:30:00;17.8;9829248550912;2020-07-11T03:30:00+00:00;2020-07-11T03:30:00+02:00;2020-07-11T03:30:00+00:00;2020-07-11T03:30:00+00:00
3eec12af5aa800000cde0800;31;7;12;1;21;61;6;85;0;0;0;102;15;2;0;0;0.0;5;2020;0;100200;11;0;ISS;0.0;337.5;0;2;12/7;12/7/2020;5:0;2020-07-12T05:00:00;11.6;215877632;2020-07-12T05:00:00+00:00;2020-07-12T05:00:00+02:00;2020-07-12T05:00:00+00:00;2020-07-12T05:00:00+00:00
3eec130f92c80a800cde0800;31;7;12;1;24;62;4;89;0;168;0;102;15;2;0;0;0.0;5;2020;45;100200;12;336;ISS;0.0;337.5;0;2;12/7;12/7/2020;5:45;2020-07-12T05:45:00;12.4;11545087969280;2020-07-12T05:45:00+00:00;2020-07-12T05:45:00+02:00;2020-07-12T05:45:00+00:00;2020-07-12T05:45:00+00:00
3eec132fcec80a802cde0c00;31;7;12;1;25;63;3;89;0;168;1;102;15;3;0;0;0.0;6;2020;0;100200;13;336;ISS;0.0;337.5;1;3;12/7;12/7/2020;6:0;2020-07-12T06:00:00;13.3;11545624841216;2020-07-12T06:00:00+00:00;2020-07-12T06:00:00+02:00;2020-07-12T06:00:00+00:00;2020-07-12T06:00:00+00:00
3eec13500ac80a800cde0800;31;7;12;1;26;64;2;89;0;168;0;102;15;2;0;0;0.0;6;2020;15;100200;14;336;ISS;0.0;337.5;0;2;12/7;12/7/2020;6:15;2020-07-12T06:15:00;14.2;11545087969280;2020-07-12T06:15:00+00:00;2020-07-12T06:15:00+02:00;2020-07-12T06:15:00+00:00;2020-07-12T06:15:00+00:00
3eec157308e809110d1c5400;31;7;12;1;43;76;2;29;0;145;8;104;14;21;0;0;0.0;10;2020;30;100400;26;290;ISS;0.0;315.0;8;21;12/7;12/7/2020;10:30;2020-07-12T10:30:00;26.2;9968839054336;2020-07-12T10:30:00+00:00;2020-07-12T10:30:00+02:00;2020-07-12T10:30:00+00:00;2020-07-12T10:30:00+00:00
3eec16934cd004204ccc3800;31;7;12;1;52;77;3;26;0;66;2;102;6;14;0;0;0.0;12;2020;45;100200;27;132;ISS;0.0;135.0;2;14;12/7;12/7/2020;12:45;2020-07-12T12:45:00;27.3;4536773916672;2020-07-12T12:45:00+00:00;2020-07-12T12:45:00+02:00;2020-07-12T12:45:00+00:00;2020-07-12T12:45:00+00:00
3eec1773051806f0ccf44c00;31;7;12;1;59;76;1;35;0;111;6;103;10;19;0;0;0.0;14;2020;30;100300;26;222;ISS;0.0;225.0;6;19;12/7;12/7/2020;14:30;2020-07-12T14:30:00;26.1;7631300480000;2020-07-12T14:30:00+00:00;2020-07-12T14:30:00+02:00;2020-07-12T14:30:00+00:00;2020-07-12T14:30:00+00:00
3eec1832e52002b0cc6a2c00;31;7;12;1;65;75;9;36;0;43;6;99;5;11;0;0;0.0;16;2020;0;99900;25;86;ISS;0.0;112.5;6;11;12/7;12/7/2020;16:0;2020-07-12T16:00:00;25.9;2958367009792;2020-07-12T16:00:00+00:00;2020-07-12T16:00:00+02:00;2020-07-12T16:00:00+00:00;2020-07-12T16:00:00+00:00
3eec18730d1804d08c903800;31;7;12;1;67;76;3;35;0;77;4;100;8;14;0;0;0.0;16;2020;30;100000;26;154;ISS;0.0;180.0;4;14;12/7;12/7/2020;16:30;2020-07-12T16:30:00;26.3;5293757970432;2020-07-12T16:30:00+00:00;2020-07-12T16:30:00+02:00;2020-07-12T16:30:00+00:00;2020-07-12T16:30:00+00:00
3eec17931d0806f12cf46000;31;7;12;1;60;76;7;33;0;111;9;103;10;24;0;0;0.0;14;2020;45;100300;26;222;ISS;0.0;225.0;9;24;12/7;12/7/2020;14:45;2020-07-12T14:45:00;26.7;7632911097856;2020-07-12T14:45:00+00:00;2020-07-12T14:45:00+02:00;2020-07-12T14:45:00+00:00;2020-07-12T14:45:00+00:00
3f9f046c9ee801604e441400;31;12;31;0;35;50;7;93;0;22;2;114;2;5;0;0;0.0;8;2019;30;101400;0;44;ISS;0.0;45.0;2;5;31/12;31/12/2019;8:30;2019-12-31T08:30:00;0.7;1513141572608;2019-12-31T08:30:00+00:00;2019-12-31T08:30:00+01:00;2019-12-31T08:30:00+00:00;2019-12-31T08:30:00+00:00
3f9f004e06b801b08e0a1800;31;12;31;0;2;56;1;87;0;27;4;112;5;6;0;0;0.0;0;2019;15;101200;6;54;ISS;0.0;112.5;4;6;31/12;31/12/2019;0:15;2019-12-31T00:15:00;6.1;1857808898048;2019-12-31T00:15:00+00:00;2019-12-31T00:15:00+01:00;2019-12-31T00:15:00+00:00;2019-12-31T00:15:00+00:00
3f9e0a2e22b80340ce0a2c00;31;12;30;0;81;56;8;87;0;52;6;112;5;11;0;0;0.0;20;2019;0;101200;6;104;ISS;0.0;112.5;6;11;30/12;30/12/2019;20:0;2019-12-30T20:00:00;6.8;3576869563392;2019-12-30T20:00:00+00:00;2019-12-30T20:00:00+01:00;2019-12-30T20:00:00+00:00;2019-12-30T20:00:00+00:00
3f9e050dd2f803906e4a1800;31;12;30;0;40;55;4;95;0;57;3;114;5;6;0;0;0.0;9;2019;45;101400;5;114;ISS;0.0;112.5;3;6;30/12;30/12/2019;9:45;2019-12-30T09:45:00;5.4;3918860523520;2019-12-30T09:45:00+00:00;2019-12-30T09:45:00+01:00;2019-12-30T09:45:00+00:00;2019-12-30T09:45:00+00:00
3f9e044ccef000b00e220800;31;12;30;0;34;51;3;94;0;11;0;113;1;2;0;0;0.0;8;2019;15;101300;1;22;ISS;0.0;22.5;0;2;30/12;30/12/2019;8:15;2019-12-30T08:15:00;1.3;756151355392;2019-12-30T08:15:00+00:00;2019-12-30T08:15:00+01:00;2019-12-30T08:15:00+00:00;2019-12-30T08:15:00+00:00
3f9e03ac9af000000e040800;31;12;30;0;29;50;6;94;0;0;0;112;2;2;0;0;0.0;7;2019;0;101200;0;0;ISS;0.0;45.0;0;2;30/12;30/12/2019;7:0;2019-12-30T07:00:00;0.6;235145216;2019-12-30T07:00:00+00:00;2019-12-30T07:00:00+01:00;2019-12-30T07:00:00+00:00;2019-12-30T07:00:00+00:00
3f9e014cdee802104e061400;31;12;30;0;10;51;7;93;0;33;2;112;3;5;0;0;0.0;2;2019;15;101200;1;66;ISS;0.0;67.5;2;5;30/12;30/12/2019;2:15;2019-12-30T02:15:00;1.7;2269051753472;2019-12-30T02:15:00+00:00;2019-12-30T02:15:00+01:00;2019-12-30T02:15:00+00:00;2019-12-30T02:15:00+00:00
3f9e010ce6e002102e060c00;31;12;30;0;8;51;9;92;0;33;1;112;3;3;0;0;0.0;1;2019;45;101200;1;66;ISS;0.0;67.5;1;3;30/12;30/12/2019;1:45;2019-12-30T01:45:00;1.9;2268514880512;2019-12-30T01:45:00+00:00;2019-12-30T01:45:00+01:00;2019-12-30T01:45:00+00:00;2019-12-30T01:45:00+00:00
3f9d0b8d1ee802104e260c00;31;12;29;0;92;52;7;93;0;33;2;113;3;3;0;0;0.0;22;2019;45;101300;2;66;ISS;0.0;67.5;2;3;29/12;29/12/2019;22:45;2019-12-29T22:45:00;2.7;2269053848576;2019-12-29T22:45:00+00:00;2019-12-29T22:45:00+01:00;2019-12-29T22:45:00+00:00;2019-12-29T22:45:00+00:00
3f9d04ee02e002c06e4a1800;31;12;29;0;39;56;0;92;0;44;3;114;5;6;0;0;0.0;9;2019;30;101400;6;88;ISS;0.0;112.5;3;6;29/12;29/12/2019;9:30;2019-12-29T09:30:00;6.0;3025507325952;2019-12-29T09:30:00+00:00;2019-12-29T09:30:00+01:00;2019-12-29T09:30:00+00:00;2019-12-29T09:30:00+00:00
3f9c09ed82e000002e200c00;31;12;28;0;79;54;0;92;0;0;1;113;0;3;0;0;0.0;19;2019;30;101300;4;0;ISS;0.0;0.0;1;3;28/12;28/12/2019;19:30;2019-12-28T19:30:00;4.0;773852160;2019-12-28T19:30:00+00:00;2019-12-28T19:30:00+01:00;2019-12-28T19:30:00+00:00;2019-12-28T19:30:00+00:00
3f9c09ad8ee000002e200c00;31;12;28;0;77;54;3;92;0;0;1;113;0;3;0;0;0.0;19;2019;0;101300;4;0;ISS;0.0;0.0;1;3;28/12;28/12/2019;19:0;2019-12-28T19:00:00;4.3;773852160;2019-12-28T19:00:00+00:00;2019-12-28T19:00:00+01:00;2019-12-28T19:00:00+00:00;2019-12-28T19:00:00+00:00
3f9c08ce12c000002e200c00;31;12;28;0;70;56;4;88;0;0;1;113;0;3;0;0;0.0;17;2019;15;101300;6;0;ISS;0.0;0.0;1;3;28/12;28/12/2019;17:15;2019-12-28T17:15:00;6.4;773852160;2019-12-28T17:15:00+00:00;2019-12-28T17:15:00+01:00;2019-12-28T17:15:00+00:00;2019-12-28T17:15:00+00:00
3f9c06aec6a809f02e1a1400;31;12;28;0;53;59;1;85;0;159;1;112;13;5;0;0;0.0;13;2019;0;101200;9;318;ISS;0.0;292.5;1;5;28/12;28/12/2019;13:0;2019-12-28T13:00:00;9.1;10927170262016;2019-12-28T13:00:00+00:00;2019-12-28T13:00:00+01:00;2019-12-28T13:00:00+00:00;2019-12-28T13:00:00+00:00
